first,second,first_top1,second_top1,weaker_top1,best_solo_top1,mean_solo_top1,pair_top1,gain_over_best,gain_over_mean,relative_error_reduction_over_best,score_correlation,margin_correlation,correctness_correlation,prediction_disagreement,double_fault,wrong_winner_agreement,oracle_top1,oracle_headroom_over_best,oracle_headroom_realized
sqf_bigg,sqf_vith,34.1,30.7,30.7,34.1,32.4,37.85,3.75,5.450000000000003,0.056904400606980265,0.883345483475726,0.6625664271021132,0.49307777665575303,0.6055,0.5645,0.3224092116917626,43.55,9.449999999999996,0.396825396825397
sqf_bigg,multi_eva,34.1,30.4,30.4,34.1,32.25,38.45,4.350000000000001,6.200000000000003,0.06600910470409713,0.85675653967843,0.5865524719398371,0.384476004782843,0.656,0.5425,0.28847926267281104,45.75,11.649999999999999,0.3733905579399143
sqf_bigg,multi_vith,34.1,28.449999999999996,28.449999999999996,34.1,31.275,37.9,3.799999999999997,6.625,0.05766312594840663,0.8529040460603864,0.5654312451946911,0.40436862320339667,0.6735,0.558,0.25627240143369173,44.2,10.100000000000001,0.3762376237623759
sqf_bigg,encv3_multiscale_sqf,34.1,34.9,34.1,34.9,34.5,38.75,3.8500000000000014,4.25,0.05913978494623658,0.8822456404398225,0.6545592324501199,0.48899430321635423,0.6045,0.5395,0.3076923076923077,46.050000000000004,11.150000000000006,0.34529147982062774
sqf_bigg,encv3_multiscale_bissm,34.1,29.5,29.5,34.1,31.8,37.7,3.6000000000000014,5.900000000000002,0.05462822458270108,0.8556518253034693,0.5931832984449475,0.3719269023111957,0.668,0.545,0.27706422018348625,45.5,11.399999999999999,0.3157894736842107
sqf_bigg,encv3_ranked_perceiver,34.1,33.050000000000004,33.050000000000004,34.1,33.575,39.900000000000006,5.800000000000004,6.325000000000003,0.08801213960546288,0.8759012568321387,0.6262691464298793,0.4542828925210994,0.623,0.5425,0.30046082949308756,45.75,11.649999999999999,0.4978540772532193
sqf_bigg,dimfrozen_fd32,34.1,32.85,32.85,34.1,33.475,38.1,4.0,4.625,0.060698027314112286,0.8881185322586882,0.6550625873001501,0.44232762405993487,0.6035,0.541,0.3438077634011091,45.9,11.799999999999997,0.3389830508474577
sqf_bigg,dimfrozen_fd64,34.1,33.45,33.45,34.1,33.775000000000006,39.65,5.549999999999997,5.874999999999993,0.08421851289833075,0.8885234883915134,0.6480510716320965,0.4155178183617288,0.6205,0.5315,0.32455315145813735,46.85,12.75,0.4352941176470586
sqf_bigg,dimfrozen_fd128,34.1,35.15,34.1,35.15,34.625,39.6,4.450000000000003,4.975000000000001,0.06861989205859681,0.8871992795214129,0.6575209147820039,0.41814826248563913,0.6045,0.522,0.34674329501915707,47.8,12.649999999999999,0.35177865612648246
sqf_bigg,dimfrozen_fd256,34.1,34.65,34.1,34.65,34.375,39.75,5.100000000000001,5.375,0.07804131599081869,0.885793780898391,0.6596197525678136,0.4559135879707038,0.5985,0.5335,0.338331771321462,46.650000000000006,12.000000000000007,0.4249999999999999
sqf_bigg,dimfrozen_fd512,34.1,34.599999999999994,34.1,34.599999999999994,34.349999999999994,40.35,5.750000000000007,6.000000000000007,0.08792048929663619,0.8865538298532813,0.6552548851069782,0.4479553713410067,0.604,0.532,0.33270676691729323,46.800000000000004,12.20000000000001,0.47131147540983626
sqf_bigg,dimfrozen_fd1024,34.1,34.699999999999996,34.1,34.699999999999996,34.4,39.15,4.450000000000003,4.75,0.06814701378254215,0.8877982464096149,0.6617915780900039,0.4594353853141687,0.5985,0.534,0.33614232209737827,46.6,11.900000000000006,0.37394957983193283
sqf_bigg,atm_iv_seed3301,34.1,34.4,34.1,34.4,34.25,41.75,7.350000000000001,7.5,0.1120426829268293,0.8086791509567985,0.49110035060189683,0.3361413136218523,0.711,0.508,0.1889763779527559,49.2,14.800000000000004,0.4966216216216216
sqf_bigg,iv33_group_e75_seed3301,34.1,37.1,34.1,37.1,35.6,41.3,4.199999999999996,5.699999999999996,0.06677265500794906,0.8653628894941274,0.5868636484044759,0.42571939989305857,0.6205,0.512,0.3037109375,48.8,11.699999999999996,0.35897435897435875
